197it [2:21:47, 30.61s/it]0.051055137
198it [2:22:16, 30.01s/it]0.051012985
199it [2:22:38, 27.50s/it]0.05091908
200it [2:23:19, 31.60s/it]0.050867416
201it [2:23:34, 26.81s/it]0.050822437
202it [2:23:52, 24.02s/it]0.05080307
203it [2:24:11, 22.47s/it]0.05078605
204it [2:24:31, 21.69s/it]0.050683502
205it [2:25:37, 35.22s/it]0.05061545
206it [2:26:18, 36.96s/it]0.0505479
207it [2:27:18, 43.84s/it]0.050510295
208it [2:27:43, 38.14s/it]0.05044361
209it [2:28:27, 39.94s/it]0.050419413
210it [2:28:45, 33.37s/it]0.050391737
211it [2:29:08, 30.21s/it]0.05033734
212it [2:29:47, 32.69s/it]0.050291926
213it [2:31:05, 46.25s/it]0.050252404
214it [2:31:20, 37.10s/it]0.050225463
215it [2:31:38, 31.20s/it]0.050184824
216it [2:31:59, 28.35s/it]0.050133467
217it [2:32:35, 30.50s/it]0.050098766
218it [2:33:06, 30.56s/it]0.05007904
219it [2:33:49, 34.48s/it]0.050015964
220it [2:34:40, 39.27s/it]0.050003782
221it [2:35:12, 37.01s/it]0.049972422
222it [2:36:11, 43.81s/it]0.049933895
223it [2:36:28, 35.80s/it]0.049911257
224it [2:37:03, 35.44s/it]0.0498283
225it [2:37:46, 37.85s/it]0.049777556
226it [2:38:06, 32.28s/it]0.048993427
227it [2:41:28, 83.32s/it]0.048907418
228it [2:45:05, 123.43s/it]0.04884569
229it [2:45:55, 101.37s/it]0.048823442
230it [2:46:57, 89.59s/it] 0.048606817
231it [2:50:17, 122.69s/it]0.048633922
232it [2:51:18, 104.27s/it]0.048622668
233it [2:51:59, 85.29s/it] 0.048643738
234it [2:53:54, 94.24s/it]0.04859913
235it [2:54:43, 80.66s/it]0.048523348
236it [2:55:50, 76.57s/it]0.048395492
237it [2:58:03, 93.29s/it]0.04833141
238it [2:58:52, 80.22s/it]0.04829363
239it [2:59:56, 75.16s/it]0.048128534
240it [3:01:44, 85.16s/it]0.048037883
241it [3:04:47, 114.46s/it]0.047946785
242it [3:05:54, 100.21s/it]0.047901627
243it [3:06:23, 78.96s/it] 0.04795485
244it [3:07:23, 73.18s/it]0.048050012
245it [3:08:11, 65.54s/it]0.04810515
246it [3:08:49, 57.18s/it]0.048149876
247it [3:09:35, 53.82s/it]0.04833175
248it [3:11:05, 64.76s/it]0.04832128
249it [3:11:39, 55.56s/it]0.048323598
250it [3:14:18, 86.68s/it]0.048722077
251it [3:16:44, 104.37s/it]0.04881694
252it [3:18:02, 96.58s/it] 0.04874069
253it [3:18:50, 81.96s/it]0.048654098
254it [3:19:26, 68.01s/it]0.04849006
255it [3:21:09, 78.60s/it]0.04842059
256it [3:21:53, 68.20s/it]0.048240487
257it [3:23:26, 75.83s/it]0.047690433
258it [3:27:00, 117.13s/it]0.047145244
259it [3:30:37, 147.24s/it]0.04658784
260it [3:34:12, 167.54s/it]0.04617692
261it [3:37:12, 171.08s/it]0.046125416
262it [3:38:11, 137.59s/it]0.04610348
263it [3:38:39, 104.70s/it]0.04609838
264it [3:39:31, 88.72s/it] 0.04606312
265it [3:40:00, 71.09s/it]0.046002332
266it [3:41:06, 69.37s/it]0.04597203
267it [3:41:48, 61.19s/it]0.04595811
268it [3:42:18, 51.98s/it]0.045917265
269it [3:42:56, 47.76s/it]0.04585627
270it [3:44:54, 68.81s/it]0.045839865
271it [3:45:27, 57.89s/it]0.045820147
272it [3:45:55, 49.17s/it]0.045784052
273it [3:46:28, 44.16s/it]0.045709644
274it [3:47:04, 41.66s/it]0.045670453
275it [3:47:44, 41.10s/it]0.045584943
276it [3:49:01, 51.86s/it]0.045581225
277it [3:49:39, 47.95s/it]0.045544982
278it [3:50:15, 44.34s/it]0.045513373
279it [3:50:47, 40.51s/it]0.04544792
280it [3:51:21, 38.49s/it]0.045406666
281it [3:51:48, 35.08s/it]0.045371898
282it [3:52:23, 35.15s/it]0.045311496
283it [3:52:52, 33.25s/it]0.045253854
284it [3:53:56, 42.41s/it]0.045217007
285it [3:54:22, 49.34s/it]
Reconstruction loss: 0.045217007
